"text","cmp_code","eu_code"
"Die Mitte stärken. Deutschlandprogramm 2009 Programm der Freien Demokratischen Partei zur Bundestagswahl 2009 beschlossen auf dem Bundesparteitag vom 15.-17. Mai 2009 in Hannover.",NA,NA
"1. Präambel: Die Mitte stärken",NA,NA
"Der Mensch steht im Mittelpunkt liberaler Politik.",NA,NA
"Wir machen uns für die Freiheit des Einzelnenin Verantwortung für eine bessere Zukunft unseres Landes stark.","401",NA
"Wir wollen die liberale Bürgergesellschaft, in der der Einzelne nicht losgelöst von seinen Mitbürgern lebt, sondern gemeinsam mit ihnen in einer Wertegemeinschaft.","606",NA
"Sie ist geprägt von Weltoffenheit, Toleranz und Solidarität und ist der Menschenwürde verpflichtet.","606",NA
"In der liberalen Bürgergesellschaft entscheiden die Bürgerinnen und Bürger über die ZukunftDeutschlands.","202",NA
"Die liberale Bürgergesellschaft lebt vom Engagement und der politischen Teilhabe der Menschen.","606",NA
"Denn durch sie wird Politik gestaltet.","202",NA
"Sie schöpft ihre Kraft aus der Eigeninitiative und Kreativität ihrer Bürgerinnen und Bürger.","401","108"
"Sie stellt sich den vielfältigen Herausforderungen des demographischen Wandels.","408",NA
"Wir Liberale vertrauen auf die Leistungsbereitschaft der Menschen","401",NA
"und auf einen Staat, der seine Stärke aus der Beschränkung auf seine hoheitlichen Aufgaben schöpft.","401",NA
"Wir wenden uns an alle mündigen und verantwortungsbereiten Bürgerinnen und Bürger.","401",NA
"Sie erkennen selbst, was getan werden muss und brauchen dafür keine bevormundende Staatsbürokratie.","401",NA
"Die FDP ist die Partei für alle, die ihr Leben selbst gestalten und dabei nicht vom Staat bevormundet werden wollen.","401",NA
"Wir wollen die Maßstäbe politischen Handelns neu definieren: Freiheit vor Gleichheit,","201",NA
"Erwirtschaften vor Verteilen,","401",NA
"Privat vor Staat,","401",NA
"Eigenverantwortung statt Staatsgläubigkeit,","401",NA
"Chancengleichheit statt Gleichmacherei.","503",NA
"Wer mehr Freiheit und Chancengerechtigkeit in Deutschland will, braucht eine starke FDP.","201",NA
"Wir setzen uns für mehr Freiheit und Verantwortung und weniger staatliche Bevormundung ein.","401",NA
"Freiheit ist mehr als ein abstrakter Begriff.","201",NA
"Sie ist die Grundlage für die freie Entwicklung und Entfaltung der Persönlichkeit.","201",NA
"Maßstab aller Politik muss die Freiheit sein.","201",NA
"Denn nur sie erweitert Handlungsspielräume.","201",NA
"Unsere realistische Betrachtung der Gegenwart liefert Antworten und Lösungsvorschläge, die frei sind von ideologischer Verblendung.","305",NA
"Wir wollen die Chancen der Zukunft nutzen, indem wir ihre Herausforderungen erfolgreich meistern.","305",NA
