"text","cmp_code","eu_code"
"DER GRÜNE NEUE GESELLSCHAFTSVERTRAG KLIMA ARBEIT GERECHTIGKEIT FREIHEIT Bundestagswahlprogramm 2009 BÜNDNIS 90/DIE GRÜNEN Dieses Bundestagswahlprogramm wurde auf der 30. Ordentlichen Bundesdelegiertenkonferenz von BÜNDNIS 90/DIE GRÜNEN am 8. bis 10. Mai 2009 in Berlin beschlossen.",NA,NA
"Präambel",NA,NA
"Liebe Wählerin, lieber Wähler, unser Programm zur Bundestagswahl am 27. September erreicht Sie in einer Zeit großer Umbrüche und auch Sorgen.","000",NA
"Die Folgen der Wirtschafts- und Finanzkrise belasten viele Menschen.","000",NA
"Immer mehr fürchten den Verlust des Arbeitsplatzes und die, die arbeitslos sind, sehen ihre Chancen schwinden, bald wieder in Beschäftigung zu kommen.","701",NA
"Besorgniserregend sind aber auch die Auswirkungen des rapide fortschreitenden Klimawandels","501",NA
"und die sich international verschärfenden Konflikte um Ressourcen und um Nahrungsmittel.","107",NA
"Armut und Hunger sind nach wie vor große und weltweit ungelöste Probleme.","107",NA
"Wir können nicht länger so tun, als ob das alles nichts mit der Art und Weise, wie wir wirtschaften und leben, zu tun hat.","305",NA
"Die Krise ist Ausdruck einer Denkweise, die kurzfristige Profitinteressen über alles andere gestellt hat.","305",NA
"Viele Gesellschaften haben über ihre Verhältnisse gelebt und mehr konsumiert, als es ihre eigene Leistungsfähigkeit eigentlich erlaubte.","305",NA
"Wir stehen an einer Zeitenwende und können es uns nicht leisten, so weiterzumachen wie bisher.","305",NA
"Den Klimawandel erst wieder in guten Zeiten bekämpfen zu wollen,","501",NA
"wäre genauso verantwortungslos, wie Menschen, die existenzielle wirtschaftliche Ängste haben, auf den nächsten Konjunkturaufschwung zu vertrösten und sie bis dahin allein zu lassen.","503",NA
"Mit unserem Programm möchten wir Ihnen in dieser schwierigen Zeit ein Angebot machen für eine andere Politik.","305",NA
"Wir wollen Sie von unseren Ideen überzeugen.","305",NA
"Jetzt hilft weder Durchwurschteln noch blinder Aktionismus.","305",NA
"Was wir brauchen, ist eine neue Verständigung darüber, wie wir die großen sozialen, ökonomischen und ökologischen Probleme lösen wollen.","305",NA
"Wir brauchen eine Verständigung darüber, was unsere Gesellschaft im Inneren zusammenhält und welche Regeln gelten sollen.","606",NA
"Deshalb schlagen wir Ihnen einen grünen Neuen Gesellschaftsvertrag vor.","305",NA
"Es liegt an uns, jetzt die Grundlagen dafür zu legen, dass neue Arbeit geschaffen wird","408",NA
"und die Wirtschaft ein Fundament bekommt, das auch in Zukunft trägt.","408",NA
"Es liegt an uns, die Welt so einzurichten, dass wir unser Klima schützen, anstatt es zu zerstören.","501",NA
"Es liegt an uns, dass wir unsere Gesellschaft gerechter machen und Blockaden wegräumen, die verhindern, dass jede und jeder eine echte Chance auf Teilhabe hat.","503",NA
"Es liegt an uns, Bürgerrechte in unserer Gesellschaft zu stärken und sie nicht weiter abzubauen.","201",NA
"Und es liegt an uns, dass wir jetzt die Grundlage legen für eine neue gerechtere internationale Ordnung, die global Hunger und Armut bekämpft.","107",NA
"Die Zeit zu handeln ist jetzt.","305",NA
"Wir Grüne haben uns vor fast dreißig Jahren in einer Umbruchsituation gegründet, in der die Welt angesichts militärischer Bedrohung, globaler Umweltprobleme und den Gefahren der Atomkraft ebenfalls in großer Sorge war.","305",NA
"Zehn Jahre später hat die ostdeutsche Bürgerrechtsbewegung mit Bündnis 90 den Weg für die friedliche Revolution und den Umbruch in der DDR bereitet und gestaltet.","305",NA
"Damals wie heute reagieren wir Bündnisgrüne in Zeiten des Wandels mit Engagement, Fantasie und ganz konkreten Vorschlägen.","305",NA
"Vieles galt als utopisch, was heute Konsens in der Gesellschaft ist.","305",NA
"Mehr denn je merken die Menschen, dass Ökologie und eine zukunftsorientierte Wirtschaftspolitik ganz eng zusammengehören.","501",NA
"Und sie ahnen: Vielleicht wäre uns eine Wirtschaftskrise in dieser Form erspart geblieben, wenn unsere Wirtschaft weniger mit den Zukunftserwartungen spekuliert und stärker auf einen vernünftigen und schonenden Umgang mit den vorhandenen Ressourcen gebaut hätte.","416",NA
"Nichts anderes meint das grüne Prinzip der Nachhaltigkeit.","416",NA
