"text","cmp_code","eu_code"
"Konsequent sozial. Für Demokratie und Frieden. Bundestagswahlprogramm 2009",NA,NA
"1. Ein Schutzschirm für die Menschen",NA,NA
"„Der neoliberale Marktfundamentalismus war immer eine politische Doktrin, die gewissen Interessen diente.","403",NA
"Sie wurde nie von ökonomischer Theorie gestützt, ebenso wenig von historischen Erfahrungen.“ Joseph Stiglitz, Nobelpreisträger und ehemals Chefökonom der Weltbank, Juli 2008","403",NA
"Viele Bürgerinnen und Bürger, die am 27. September wählen, tun dies in Sorge und mit schwerem Herzen.",NA,NA
"Sie bangen um ihre Zukunft, ängstigen sich um ihre Arbeit, ihr Einkommen, ihren Ausbildungsplatz, ihre Rente.",NA,NA
"Viele von ihnen sind wütend und enttäuscht von neoliberaler Politik und dem kapitalistischen System.","305",NA
"Sie brauchen einen Schutzschirm zur Rettung von Arbeitsplätzen, Löhnen und Sozialeinkommen.","503",NA
"Mindestens ebenso notwendig brauchen wir eine radikale Kehrtwende in der Umweltpolitik.","501",NA
"Spätestens seit dem UN-Klimabericht ist klar: Wir zerstören unseren Lebensraum, wenn wir nicht sofort handeln.","501",NA
"Die ökonomische und die ökologische Krise sind eng miteinander verzahnt.","501",NA
"Auch hier steht der Profit gegen die Vernunft und die Interessen der gesamten Bevölkerung.","416",NA
"Wir brauchen einen Schutzschirm für die Umwelt, um den weiteren Temperaturanstieg zu stoppen und die Umweltzerstörung zu verhindern.","501",NA
"Der Kapitalismus hat die Welt in die schwerste Finanz- und Wirtschaftskrise seit 80 Jahren getrieben.","403",NA
"Handel und Wirtschaft brechen weltweit ein.","408",NA
"Es trifft überall die Ärmsten der Armen.","503",NA
"Weniger denn je ist der globale Kapitalismus in der Lage, einigermaßen erträglich menschenwürdige Lebensbedingungen zu gewährleisten.","503",NA
"Die Politik des Sozialabbaus, der Deregulierung und Privatisierung, der entfesselten Finanzmärkte, der einseitigen Ausrichtung auf den Export und der Vernachlässigung von Kaufkraft und Binnenmärkten – diese Politik dient dem Profit von Wenigen und geschieht auf dem Rücken und auf Kosten der Mehrheit der Bevölkerung.","403",NA
"Nur zwei Beispiele, die zeigen, wie menschenverachtend dieses System funktioniert:","503",NA
"Die Spekulation auf Rohstoffe treibt die Preise für Weizen und Reis hoch.","503",NA
"Deshalb hungern Millionen Menschen noch mehr, und ihr Hunger macht zehntausende Spekulanten reich.","503",NA
"Bei uns in Deutschland übernahmen Finanzinvestoren florierende Unternehmen, weideten sie um des höchsten Profits willen aus und hinterließen Ruinen.","403",NA
"Die marktradikalen Geisterfahrer haben nur zweierlei im Kopf:","403",NA
"Der Markt regiert.","403",NA
"Die Profite müssen hoch sein und schnell erzielt werden.","403",NA
"Der Kapitalismus hat eine Gesellschaft hervorgebracht, in der die Herrschenden Gier, Geiz, Egoismus und Verantwortungslosigkeit zu Tugenden erhoben haben.","503",NA
"Ihre Vertreterinnen und Vertreter haben abgewirtschaftet.","305",NA
"Ihnen darf das Land nicht länger überlassen werden.","305",NA
"Sie sind nicht bereit, aus dem Scheitern ihrer Dogmen Lehren zu ziehen.","305",NA
"Die Deutsche Bank hält weiterhin Renditen von 25 Prozent für das entscheidende Ziel unternehmerischen Handelns.","415",NA
"Der Marktradikalismus hat versagt.","403",NA
"Die anderen Parteien stehen in ihrer praktischen Politik für ein „Weiter so“ im Prinzip und für Änderungen im Detail: ein paar Steueroasen schließen, auf böse Manager schimpfen, die Finanzmärkte ein bisschen zügeln.","305",NA
"Weit und breit kein Neubeginn.","305",NA
"Die Sorge, dass die Maßnahmen der Bundesregierung nicht reichen, um Arbeit und Einkommen von Millionen zu schützen, ist zu Recht groß.","305",NA
"Arbeitsbereiche von Frauen stehen schon gar nicht im Fokus dieser Maßnahmen.","706",NA
"Die Frage, wer am Ende die Zeche für die Milliardenpakete zahlt, lassen die anderen Parteien offen.","305",NA
"Diese Rechnung wollen sie den Bürgerinnen und Bürgern erst nach der Wahl präsentieren.","305",NA
"Wir nehmen die Ängste der Menschen vor dem Verlust ihres Arbeitsplatzes, vor weiterer Ausgrenzung und Verarmung ernst.","305",NA
