"text","cmp_code","eu_code"
"Sozial und Demokratisch.",NA,NA
"Anpacken. Für Deutschland. Regierungsprogramm der SPD 2009 2013 Beschlossen auf dem außerordentlichen Bundesparteitag am 14. Juni 2009 in Berlin",NA,NA
"I. Ein neues Jahrzehnt 1. Zeit für Entscheidungen",NA,NA
"Am 27. September 2009 entscheidet sich, wer Deutschland in den nächsten vier Jahren regiert.","305",NA
"Wem die Menschen sich anvertrauen.","305",NA
"Wem sie zutrauen, dass er unser Land sicher durch die Krise führt.","408",NA
"Dass er für Arbeitsplätze kämpft und die Wachstumskräfte stärkt.","408",NA
"Dass er über einen klaren Kompass verfügt, in unruhigen Zeiten Kurs hält und Sicherheit gibt.","305",NA
"Aber es entscheidet sich noch viel mehr.","000",NA
"Es entscheidet sich, wie es nach der Krise in unserem Land weitergeht.","000",NA
"Ob daraus ein Aufbruch zu mehr Demokratie","202",NA
"und neuer Gemeinsamkeit wird.","606",NA
"Ob Verantwortungsgefühl und Vernunft wieder die Oberhand gewinnen.","403",NA
"Ob wir die richtigen Lehren aus der globalen Finanz- und Wirtschaftskrise ziehen und den Kräften des Marktes Regeln und Grenzen setzen.","403",NA
"Ob wir ein nachhaltiges Deutschland schaffen, das ein Gleichgewicht zwischen wirtschaftlichen, sozialen und ökologischen Zielen herstellt.","416",NA
"Es entscheidet sich, ob wir eine solidarische Gesellschaft sein wollen, in der die Starken größere Lasten tragen und die Schwachen wirkliche Chancen bekommen, stark zu werden.","503",NA
"Und ob die vielen Menschen, die zu uns gekommen sind, mit ihren Kindern in unserem Land eine gute Heimat finden.","607",NA
"Viele sagen: ,,Diese Krise war ein Betriebsunfall.","000",NA
"Lasst ihn uns beheben, dann geht es weiter wie bisher.''","000",NA
"Diese Auffassung ist falsch!","305",NA
"Denn diese Krise ist mehr als ein normaler Konjunktureinbruch.","305",NA
"Sie ist das Ergebnis einer Ideologie, bei der maximaler Profit und nicht der Mensch im Mittelpunkt steht.","403",NA
"Und deshalb muss unsere Antwort mehr als ein Konjunkturprogramm sein.","408",NA
"Wir stellen fest: Das marktradikale Zeitalter ist gescheitert.","403",NA
"Wir befinden uns in einer Zeitenwende.","305",NA
"Die Beantwortung der Verteilungsfragen im sozialdemokratischen Sinne stärkt unsere Demokratie","202",NA
"und unsere Soziale Marktwirtschaft.","403",NA
"Wir Sozialdemokratinnen und Sozialdemokraten wollen Soziale Demokratie.","503",NA
"Und das heißt auch: Sozialstaat und Soziale Marktwirtschaft in Deutschland, in Europa und weltweit.","403",NA
"Die Wirtschaft ist für die Menschen da und nicht umgekehrt.","403",NA
"Wir Sozialdemokratinnen und Sozialdemokraten laden alle Menschen ein, mit uns gemeinsam den Weg der Erneuerung zu gehen.","305",NA
"Denn darum geht es: Kraftvolle Erneuerung für unser Land!","305",NA
"Unser Regierungsprogramm ist ein Angebot an die gesamte Gesellschaft.","305",NA
"Es richtet sich an alle, die unser Land besser, gerechter und menschlicher machen wollen.","503",NA
"An alle, die sich den Grundsätzen der Fairness und der Solidarität verpflichtet fühlen.","503",NA
"Allen Bürgerinnen und Bürgern sagen wir: Wir wissen, wie hart ihr für euch und eure Familien arbeitet.","701",NA
"Wir machen euch ein faires Angebot: Mehr Unterstützung für Familien und für bessere Kindergärten und Schulen,","603",NA
"ein einfacheres Steuersystem.","303",NA
"Wir wollen, dass sich Ältere im öffentlichen und politischen Leben ohne Einschränkung beteiligen und ihre Lebenserfahrung einbringen können.","706",NA
"Wir wissen, dass manche Hilfe brauchen.","503",NA
"Wir lassen niemanden allein.","503",NA
"Wir wollen, dass alle Menschen ein selbstbestimmtes Leben führen können,","503",NA
"einen gerecht bezahlten Arbeitsplatz haben","701",NA
"und Aufstieg durch Bildung möglich ist.","503",NA
"Wir wissen, dass es viele langfristig denkende Unternehmer und Manager gibt, für die Leistung und Verantwortung zusammen gehören.","704",NA
"Wir wollen mit ihnen dafür sorgen, dass die Wirtschaft dem Menschen dient.","403",NA
"Helft mit, dass unser Bildungssystem besser wird.","506",NA
"Und lasst uns gemeinsam die Wirtschaft erneuern und zukunftsfähige Arbeitsplätze schaffen.","408",NA
"Uns eröffnet sich eine historische Chance, wie sie sich vielleicht nur einmal in einer Generation ergibt.","403",NA
"Wir können die Idee der Sozialen Marktwirtschaft neu begründen.","403",NA
"Und diese Chance wollen wir nutzen.","403",NA
"Wir Sozialdemokratinnen und Sozialdemokraten haben in den letzten zehn Jahren in der Regierung gezeigt, dass wir den Mut zur Verantwortung haben.","305",NA
"Wir sind schwierigen Entscheidungen nicht ausgewichen.","305",NA
