label,color,dim2,size,dim1
Afghanistan,#0000FF,43828,31889923,974.5803384
Albania,#00FF00,76423,3600523,5937.029526
Algeria,#FF0000,72301,33333216,6223.367465
Angola,#FF0000,42731,12420476,4797.231267
Argentina,#FF00FF,75.32,40301927,12779.37964
Australia,#FFFF00,81235,20434176,34435.36744
Austria,#00FF00,79829,8199783,36126.4927
Bahrain,#0000FF,75635,708573,29796.04834
Bangladesh,#0000FF,64062,150448339,1391.253792
Belgium,#00FF00,79441,10392226,33692.60508
Benin,#FF0000,56728,8078314,1441.284873
Bolivia,#FF00FF,65554,9119152,3822.137084
Bosnia and Herzegovina,#00FF00,74852,4552198,7446.298803
Botswana,#FF0000,50728,1639131,12569.85177
Brazil,#FF00FF,72.39,190010647,9065.800825
Bulgaria,#00FF00,73005,7322858,10680.79282
Burkina Faso,#FF0000,52295,14326203,1217.032994
Burundi,#FF0000,49.58,8390505,430.0706916
Cambodia,#0000FF,59723,14131858,1713.778686
Cameroon,#FF0000,50.43,17696293,2042.09524
Canada,#FF00FF,80653,33390141,36319.23501
Central #FF0000n Republic,#FF0000,44741,4369038,706.016537
Chad,#FF0000,50651,10238807,1704.063724
Chile,#FF00FF,78553,16284741,13171.63885
China,#0000FF,72961,1318683096,4959.114854
Colombia,#FF00FF,72889,44227550,7006.580419
Comoros,#FF0000,65152,710960,986.1478792
"Congo, Dem. Rep.",#FF0000,46462,64606759,277.5518587
"Congo, Rep.",#FF0000,55322,3800610,3632.557798
Costa Rica,#FF00FF,78782,4133884,9645.06142
Cote d'Ivoire,#FF0000,48328,18013409,1544.750112
Croatia,#00FF00,75748,4493312,14619.22272
Cuba,#FF00FF,78273,11416987,8948.102923
Czech Republic,#00FF00,76486,10228744,22833.30851
Denmark,#00FF00,78332,5468120,35278.41874
Djibouti,#FF0000,54791,496374,2082.481567
Dominican Republic,#FF00FF,72235,9319622,6025.374752
Ecuador,#FF00FF,74994,13755680,6873.262326
Egypt,#FF0000,71338,80264543,5581.180998
El Salvador,#FF00FF,71878,6939688,5728.353514
Equatorial Guinea,#FF0000,51579,551201,12154.08975
Eritrea,#FF0000,58.04,4906585,641.3695236
Ethiopia,#FF0000,52947,76511887,690.8055759
Finland,#00FF00,79313,5238460,33207.0844
France,#00FF00,80657,61083916,30470.0167
Gabon,#FF0000,56735,1454867,13206.48452
Gambia,#FF0000,59448,1688359,752.7497265
Germany,#00FF00,79406,82400996,32170.37442
Ghana,#FF0000,60022,22873338,1327.60891
Greece,#00FF00,79483,10706290,27538.41188
Guatemala,#FF00FF,70259,12572928,5186.050003
Guinea,#FF0000,56007,9947814,942.6542111
Guinea-Bissau,#FF0000,46388,1472041,579.231743
Haiti,#FF00FF,60916,8502814,1201.637154
Honduras,#FF00FF,70198,7483763,3548.330846
"Hong Kong, China",#0000FF,82208,6980412,39724.97867
Hungary,#00FF00,73338,9956108,18008.94444
Iceland,#00FF00,81757,301931,36180.78919
India,#0000FF,64698,1110396331,2452.210407
Indonesia,#0000FF,70.65,223547000,3540.651564
Iran,#0000FF,70964,69453570,11605.71449
Iraq,#0000FF,59545,27499638,4471.061906
Ireland,#00FF00,78885,4109086,40675.99635
Israel,#0000FF,80745,6426679,25523.2771
Italy,#00FF00,80546,58147733,28569.7197
Jamaica,#FF00FF,72567,2780132,7320.880262
Japan,#0000FF,82603,127467972,31656.06806
Jordan,#0000FF,72535,6053193,4519.461171
Kenya,#FF0000,54.11,35610177,1463.249282
"Korea, Dem. Rep.",#0000FF,67297,23301725,1593.06548
"Korea, Rep.",#0000FF,78623,49044790,23348.13973
Kuwait,#0000FF,77588,2505559,47306.98978
Lebanon,#0000FF,71993,3921278,10461.05868
Lesotho,#FF0000,42592,2012649,1569.331442
Liberia,#FF0000,45678,3193942,414.5073415
Libya,#FF0000,73952,6036914,12057.49928
