dim1,dim2,label,color,fontcolor,size,fontsize,party
3.0341501,-4.4295244,kraft,#cc0000,#cc0000,10,12,SPD
5.6044903,4.7149243,produkt,#029e00,#029e00,10,12,Gruene
2.425241,-4.5662727,friede,#343434,#343434,10,12,CDUCSU
3.434245,-7.493323,demokrat,#ffe800,#ffe800,10,12,FDP
9.569492,7.52912,gewerkschaft,#900C3F,#900C3F,10,12,Linke
-6.095813,-3.6561694,privat,#ffe800,#ffe800,10,12,FDP
13.326854,2.7504697,90,#029e00,#029e00,10,12,Gruene
8.076786,8.457239,privatisierung,#900C3F,#900C3F,10,12,Linke
7.1150355,-5.91508,sozialdemokrat,#cc0000,#cc0000,10,12,SPD
8.509672,7.9213505,kriegen,#900C3F,#900C3F,10,12,Linke
-9.699989,-9.012193,stehen,#343434,#343434,10,12,CDUCSU
-5.366946,-5.34732,bereich,#ffe800,#ffe800,10,12,FDP
2.7428088,12.920729,derzeit,#21a1ff,#21a1ff,10,12,AFD
1.0255748,6.5153656,eltern,#21a1ff,#21a1ff,10,12,AFD
-13.849329,-9.4226885,brauchen,#029e00,#029e00,10,12,Gruene
2.5232997,14.49254,15,#21a1ff,#21a1ff,10,12,AFD
1.8183801,0.1726263,ausbau,#cc0000,#cc0000,10,12,SPD
7.879438,4.822401,pflege,#900C3F,#900C3F,10,12,Linke
-11.481513,-14.686485,afd,#21a1ff,#21a1ff,10,12,AFD
-8.278746,-10.504191,sicherheit,#343434,#343434,10,12,CDUCSU
3.1807516,7.78879,bevölkerung,#21a1ff,#21a1ff,10,12,AFD
2.548477,11.616914,sogenannt,#21a1ff,#21a1ff,10,12,AFD
11.140173,6.6941175,pds,#900C3F,#900C3F,10,12,Linke
3.5830014,-0.6633968,investition,#cc0000,#cc0000,10,12,SPD
0.682895,4.702189,gesetz,#21a1ff,#21a1ff,10,12,AFD
3.5660682,14.164222,gender,#21a1ff,#21a1ff,10,12,AFD
-4.8117037,-9.37906,freiheit,#ffe800,#ffe800,10,12,FDP
-0.6716408,-4.0456514,voraussetzung,#343434,#343434,10,12,CDUCSU
5.6218357,-3.3557847,erforderlich,#ffe800,#ffe800,10,12,FDP
3.4614797,2.5998614,nachhaltig,#029e00,#029e00,10,12,Gruene
3.8276458,0.26129618,wirksam,#900C3F,#900C3F,10,12,Linke
5.041648,-1.5975308,volk,#343434,#343434,10,12,CDUCSU
1.9863203,13.732374,afrika,#21a1ff,#21a1ff,10,12,AFD
-10.183606,-8.525953,entwicklung,#ffe800,#ffe800,10,12,FDP
3.1515775,14.282199,10,#21a1ff,#21a1ff,10,12,AFD
-3.3473094,-5.3089805,erreichen,#cc0000,#cc0000,10,12,SPD
1.3773314,4.7276735,gewährleisten,#ffe800,#ffe800,10,12,FDP
4.48814,-4.107974,verbesserung,#ffe800,#ffe800,10,12,FDP
-14.367099,-6.822311,öffentlich,#900C3F,#900C3F,10,12,Linke
4.4318423,1.5203146,gestalten,#029e00,#029e00,10,12,Gruene
