label,party,year,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32
1949|CDUCSU,CDUCSU,1949,#343434,#343434,31.01,12,16.052116,78.05485,100.0,59.41637,81.32043657944172,36.27679037802234
1949|FDP,FDP,1949,#ffe800,#ffe800,11.92,12,10.509017,70.95895,95.03571,49.39133,89.54296225205984,45.706056913644005
1949|Linke,Linke,1949,#900C3F,#900C3F,0.0,12,5.8116817,83.76941,97.00856,78.70724,93.31412248026297,41.627771246046805
1949|SPD,SPD,1949,#cc0000,#cc0000,29.22,12,0.0,76.68728,97.94743,71.6834,86.68382589663123,43.99110314765586
1953|CDUCSU,CDUCSU,1953,#343434,#343434,45.17,12,16.631844,85.1612,93.96752,84.23082,86.67370166284,30.4839860781667
1953|FDP,FDP,1953,#ffe800,#ffe800,9.54,12,79.87701,0.0,64.29036,31.102627,89.52668655670816,40.936113824980964
1953|SPD,SPD,1953,#cc0000,#cc0000,28.84,12,3.8178823,61.80121,84.86145,49.190815,82.24302676009258,44.715871102270924
1957|CDUCSU,CDUCSU,1957,#343434,#343434,50.19,12,17.91996,96.4521,86.96482,94.43897,100.0,33.45628107174273
1957|FDP,FDP,1957,#ffe800,#ffe800,7.71,12,27.45115,78.48101,86.044,70.2923,92.89794289177891,41.854589740306125
1957|SPD,SPD,1957,#cc0000,#cc0000,31.75,12,24.953617,70.872025,85.61089,68.879135,82.70385248523367,23.765210784452513
1961|CDUCSU,CDUCSU,1961,#343434,#343434,45.32,12,22.954529,100.0,85.208786,94.4335,91.98591449808448,37.80440390654715
1961|FDP,FDP,1961,#ffe800,#ffe800,12.77,12,36.902355,73.31681,84.98158,29.31634,83.63210821216856,35.57162346325221
1961|SPD,SPD,1961,#cc0000,#cc0000,36.22,12,15.699137,59.074116,84.93588,57.326134,84.78513207500377,28.66662148175379
1965|CDUCSU,CDUCSU,1965,#343434,#343434,47.59,12,29.61863,12.995659,59.219475,100.0,79.90116925006836,9.906940060275183
1965|FDP,FDP,1965,#ffe800,#ffe800,9.49,12,5.141366,47.122257,73.15438,29.503649,74.6468889899808,35.75474205239955
1965|SPD,SPD,1965,#cc0000,#cc0000,39.28,12,10.927187,54.529198,84.8855,42.618813,71.37786268463955,20.297619692358793
1969|CDUCSU,CDUCSU,1969,#343434,#343434,46.09,12,8.513968,30.666288,75.44328,91.49024,73.46190312063577,20.37977621686582
1969|FDP,FDP,1969,#ffe800,#ffe800,5.77,12,41.665485,59.973442,68.933174,15.486563,68.21379827745906,36.86576264367039
1969|SPD,SPD,1969,#cc0000,#cc0000,42.67,12,20.568853,32.99508,74.344696,58.918095,70.21908970334115,17.1706692494152
1972|CDUCSU,CDUCSU,1972,#343434,#343434,44.86,12,17.609838,20.655231,73.25541,84.89353,67.04808985506472,19.95179248712305
1972|FDP,FDP,1972,#ffe800,#ffe800,8.36,12,48.880398,85.9777,62.708717,0.0,81.55482081204566,32.40223938451644
1972|SPD,SPD,1972,#cc0000,#cc0000,45.85,12,17.852053,43.23227,72.50733,46.172817,57.335941921750845,23.321097477052714
1976|CDUCSU,CDUCSU,1976,#343434,#343434,48.63,12,27.930841,63.271584,82.51316,82.898155,58.119345136480305,6.9606099272888455
1976|FDP,FDP,1976,#ffe800,#ffe800,7.92,12,46.774654,76.33194,64.38976,9.843629,53.63150463433529,21.848433850788197
1976|SPD,SPD,1976,#cc0000,#cc0000,42.56,12,23.799707,41.758495,72.50012,56.805218,57.14505312305971,13.40259439383615
1980|CDUCSU,CDUCSU,1980,#343434,#343434,44.54,12,30.40169,57.74963,77.64525,75.88933,61.086960648523615,9.676531813053897
1980|FDP,FDP,1980,#ffe800,#ffe800,10.62,12,46.954205,67.50277,70.61674,14.720623,43.04871529900934,23.890307661390146
1980|SPD,SPD,1980,#cc0000,#cc0000,42.86,12,29.175282,35.71389,67.5444,63.12682,51.225517639763915,20.870398749098936
1983|CDUCSU,CDUCSU,1983,#343434,#343434,48.79,12,25.097143,54.156185,72.19222,72.77689,63.85958472652422,11.620133084898653
1983|FDP,FDP,1983,#ffe800,#ffe800,6.95,12,53.68147,72.96156,66.556046,8.065273,53.682407991486656,26.617135780568006
1983|Gruene,Gruene,1983,#029e00,#029e00,5.57,12,100.0,35.45379,22.286497,24.122238,70.37168844964805,70.03989528204488
1983|SPD,SPD,1983,#cc0000,#cc0000,38.18,12,29.304838,43.948105,64.099396,59.984016,55.852045059369004,27.01394878593485
1987|CDUCSU,CDUCSU,1987,#343434,#343434,44.26,12,32.785675,25.207552,62.7164,85.78331,48.52654252670223,2.675823948009074
1987|FDP,FDP,1987,#ffe800,#ffe800,9.09,12,59.486206,64.879814,59.066437,7.3212957,47.17215042717473,29.667421983210403
1987|Gruene,Gruene,1987,#029e00,#029e00,8.26,12,98.14708,46.011734,23.845692,26.498524,54.009851095849314,96.5894564079423
1987|SPD,SPD,1987,#cc0000,#cc0000,37.04,12,35.6946,46.783348,61.46365,51.870853,48.68242788267797,30.34300757466177
1990|CDUCSU,CDUCSU,1990,#343434,#343434,43.82,12,38.75832,33.738335,53.113503,85.85912,43.69000323696705,7.35973189694988
1990|FDP,FDP,1990,#ffe800,#ffe800,11.03,12,51.949226,63.287186,56.104225,11.092169,38.76640186081205,25.327179125247902
