dim1,dim2,label,color,fontcolor,size,fontsize,party
-6.380355,-5.6901197,förderung,#ffe800,#ffe800,10,12,FDP
7.2925243,0.15369886,staatlich,#21a1ff,#21a1ff,10,12,AFD
-7.5224457,-10.976123,mein,#343434,#343434,10,12,CDUCSU
-5.359915,2.657267,zusammenarbeit,#cc0000,#cc0000,10,12,SPD
-2.9954016,0.89678425,forschung,#ffe800,#ffe800,10,12,FDP
-6.025889,-8.083429,gemeinsam,#cc0000,#cc0000,10,12,SPD
-3.038363,-10.05279,ökologisch,#029e00,#029e00,10,12,Gruene
-3.6399124,6.8437934,gemeinde,#cc0000,#cc0000,10,12,SPD
-5.7434864,-2.2496333,maßnahme,#ffe800,#ffe800,10,12,FDP
-6.5857234,-11.333178,familie,#343434,#343434,10,12,CDUCSU
-0.6181457,3.7903821,treten,#343434,#343434,10,12,CDUCSU
15.040717,6.365256,parteienfinanzierung,#21a1ff,#21a1ff,10,12,AFD
-11.321346,-12.185497,setzen,#029e00,#029e00,10,12,Gruene
-5.090837,-3.9186556,bereich,#ffe800,#ffe800,10,12,FDP
-9.970945,-13.402686,land,#343434,#343434,10,12,CDUCSU
2.9552345,2.4795198,deutlich,#029e00,#029e00,10,12,Gruene
-2.1358027,3.1139538,halten,#343434,#343434,10,12,CDUCSU
4.389586,9.829032,privatisierung,#900C3F,#900C3F,10,12,Linke
9.112244,-4.840835,grünen,#029e00,#029e00,10,12,Gruene
-6.7232065,-8.689466,verbessern,#343434,#343434,10,12,CDUCSU
-3.8591905,5.550345,wachstum,#343434,#343434,10,12,CDUCSU
9.233713,-4.2799926,grüne,#029e00,#029e00,10,12,Gruene
-6.882638,-7.2874885,unterstützen,#029e00,#029e00,10,12,Gruene
10.926341,5.5693884,grundgesetz,#21a1ff,#21a1ff,10,12,AFD
-9.180952,-8.769674,entwicklung,#ffe800,#ffe800,10,12,FDP
-7.553042,3.0166636,volk,#343434,#343434,10,12,CDUCSU
-8.32128,-2.5482306,frei,#ffe800,#ffe800,10,12,FDP
12.360116,5.185324,000,#21a1ff,#21a1ff,10,12,AFD
-11.876569,-9.087035,soziale,#900C3F,#900C3F,10,12,Linke
-12.263203,-11.112323,frau,#029e00,#029e00,10,12,Gruene
-5.039534,-1.6994507,geben,#ffe800,#ffe800,10,12,FDP
-6.187332,-6.1685257,international,#ffe800,#ffe800,10,12,FDP
-4.2983594,-1.6643748,alt,#343434,#343434,10,12,CDUCSU
-6.613473,-9.410772,sicherheit,#343434,#343434,10,12,CDUCSU
-10.621559,-11.03546,politik,#343434,#343434,10,12,CDUCSU
14.766201,7.440993,11,#21a1ff,#21a1ff,10,12,AFD
-9.359127,-6.984699,insbesondere,#ffe800,#ffe800,10,12,FDP
-9.668782,1.0310583,csu,#343434,#343434,10,12,CDUCSU
2.7714097,-1.7373688,kommune,#900C3F,#900C3F,10,12,Linke
4.717945,7.8795986,armut,#900C3F,#900C3F,10,12,Linke
12.924116,6.4415035,derzeit,#21a1ff,#21a1ff,10,12,AFD
2.7017634,3.5111494,jugendliche,#029e00,#029e00,10,12,Gruene
6.5742826,2.5645988,kosten,#21a1ff,#21a1ff,10,12,AFD
-8.493465,-3.457575,freiheit,#ffe800,#ffe800,10,12,FDP
4.992248,8.094167,solidarisch,#900C3F,#900C3F,10,12,Linke
-13.548521,-10.245784,sozial,#900C3F,#900C3F,10,12,Linke
15.216636,7.1554246,imame,#21a1ff,#21a1ff,10,12,AFD
-5.0157895,2.3444643,grundlage,#cc0000,#cc0000,10,12,SPD
-8.700831,-6.276857,politisch,#ffe800,#ffe800,10,12,FDP
2.4073572,-2.2320719,demokratie,#900C3F,#900C3F,10,12,Linke
-3.4753454,8.362608,sozialdemokrat,#cc0000,#cc0000,10,12,SPD
2.9029355,1.2313063,gesetzlich,#900C3F,#900C3F,10,12,Linke
4.2941337,8.414505,ddr,#900C3F,#900C3F,10,12,Linke
-10.031725,-7.3834367,eu,#21a1ff,#21a1ff,10,12,AFD
-6.111896,-4.1099086,neu,#029e00,#029e00,10,12,Gruene
2.6526659,5.852423,gerechtigkeit,#cc0000,#cc0000,10,12,SPD
-5.165606,-6.502842,chance,#ffe800,#ffe800,10,12,FDP
-5.331475,-6.962997,verantwortung,#ffe800,#ffe800,10,12,FDP
-4.7034283,3.6855679,künftig,#343434,#343434,10,12,CDUCSU
8.146086,2.420684,eltern,#21a1ff,#21a1ff,10,12,AFD
14.15915,7.890834,10,#21a1ff,#21a1ff,10,12,AFD
-8.341108,-11.238061,europa,#343434,#343434,10,12,CDUCSU
-3.924806,-1.2373602,arbeitsplätze,#343434,#343434,10,12,CDUCSU
-5.7491064,-2.9037192,weg,#cc0000,#cc0000,10,12,SPD
-0.15044802,-3.4335406,gerecht,#cc0000,#cc0000,10,12,SPD
1.0995333,0.9117877,erhöhen,#900C3F,#900C3F,10,12,Linke
-9.583753,-8.010497,erhalten,#21a1ff,#21a1ff,10,12,AFD
-3.7811754,2.8222346,aufgeben,#cc0000,#cc0000,10,12,SPD
-1.3323443,-3.6164067,bundesregierung,#cc0000,#cc0000,10,12,SPD
1.6258701,1.5550611,entscheiden,#029e00,#029e00,10,12,Gruene
-6.8556767,-9.014046,wichtig,#cc0000,#cc0000,10,12,SPD
-3.0096893,1.7997241,tragen,#cc0000,#cc0000,10,12,SPD
-5.074068,0.5864459,voraussetzung,#343434,#343434,10,12,CDUCSU
-3.627335,-4.582311,interesse,#cc0000,#cc0000,10,12,SPD
-6.448584,1.4737053,union,#343434,#343434,10,12,CDUCSU
2.6543589,-1.4398049,gesellschaftlich,#900C3F,#900C3F,10,12,Linke
-3.9349377,5.144029,erfolgreich,#343434,#343434,10,12,CDUCSU
6.3654356,8.8415365,beschäftigte,#900C3F,#900C3F,10,12,Linke
1.4239742,3.0025675,energie,#029e00,#029e00,10,12,Gruene
3.6335962,-1.5456593,demokratisch,#900C3F,#900C3F,10,12,Linke
6.7751894,4.0062127,infrastruktur,#900C3F,#900C3F,10,12,Linke
-5.8770614,-0.2522078,sorgen,#cc0000,#cc0000,10,12,SPD
-6.335879,-3.026764,welt,#343434,#343434,10,12,CDUCSU
7.0010915,4.9269795,rente,#900C3F,#900C3F,10,12,Linke
-8.668604,-9.120135,stark,#cc0000,#cc0000,10,12,SPD
-6.5771613,5.1788564,spd,#cc0000,#cc0000,10,12,SPD
9.283749,-3.9907727,innen,#029e00,#029e00,10,12,Gruene
7.2589808,9.216327,pds,#900C3F,#900C3F,10,12,Linke
3.1400814,6.704606,pflege,#900C3F,#900C3F,10,12,Linke
-3.6451957,3.277382,aufgabe,#343434,#343434,10,12,CDUCSU
-4.270671,2.859524,verstärken,#ffe800,#ffe800,10,12,FDP
14.446412,6.9133506,15,#21a1ff,#21a1ff,10,12,AFD
-4.4890146,4.276412,friede,#343434,#343434,10,12,CDUCSU
13.372403,6.633834,türkei,#21a1ff,#21a1ff,10,12,AFD
-4.143956,4.765461,kraft,#cc0000,#cc0000,10,12,SPD
-7.148476,-10.254976,zukunft,#343434,#343434,10,12,CDUCSU
9.6961775,4.3577332,beenden,#21a1ff,#21a1ff,10,12,AFD
-8.237167,-6.980248,hoch,#ffe800,#ffe800,10,12,FDP
-4.0369635,2.05887,besonder,#cc0000,#cc0000,10,12,SPD
3.4294257,2.0139337,unabhängig,#900C3F,#900C3F,10,12,Linke
14.752714,7.882654,sozialversicherungsabkommen,#21a1ff,#21a1ff,10,12,AFD
-13.564051,-10.209515,öffentlich,#900C3F,#900C3F,10,12,Linke
1.8096467,4.511414,million,#900C3F,#900C3F,10,12,Linke
-9.780874,-10.508999,fördern,#343434,#343434,10,12,CDUCSU
12.391726,5.9063253,abschaffung,#21a1ff,#21a1ff,10,12,AFD
3.8825517,4.6942616,produkt,#029e00,#029e00,10,12,Gruene
-6.0749693,-9.20794,sichern,#343434,#343434,10,12,CDUCSU
13.543149,8.222869,12,#21a1ff,#21a1ff,10,12,AFD
-3.9067485,-0.65949535,nutzen,#cc0000,#cc0000,10,12,SPD
-1.4371578,1.3492316,hochschule,#ffe800,#ffe800,10,12,FDP
