label,party,color,fontcolor,size,fontsize,dim11,dim12,dim21,dim22,dim31,dim32
kraft,SPD,#cc0000,#cc0000,10,12,63.000698,34.18892,60.20878,53.029984,10.233667559350339,14.291695136990151
produkt,Gruene,#029e00,#029e00,10,12,71.81494,64.669556,52.898224,27.296131,8.280182019869493,15.157764619092395
friede,CDUCSU,#343434,#343434,10,12,60.912617,33.733097,62.169178,55.81859,11.936240369111694,14.457017482079998
demokrat,FDP,#ffe800,#ffe800,10,12,64.3727,23.97654,56.053562,65.00053,4.429153785722361,16.73243328946631
gewerkschaft,Linke,#900C3F,#900C3F,10,12,85.411766,74.04994,49.03674,7.875448,6.008777696004514,13.04746358621236
privat,FDP,#ffe800,#ffe800,10,12,31.692127,36.76669,78.97776,68.26065,18.563421843532975,18.715849321018897
90,Gruene,#029e00,#029e00,10,12,98.296555,58.121555,87.29837,0.87974983,5.340946860696659,12.19912020276961
privatisierung,Linke,#900C3F,#900C3F,10,12,80.29296,77.14359,47.854176,7.0762196,4.07925176947821,15.62888447856544
sozialdemokrat,SPD,#cc0000,#cc0000,10,12,76.99491,29.237196,61.11725,49.14332,5.02222980387168,14.308376178409759
kriegen,Linke,#900C3F,#900C3F,10,12,81.77742,75.357346,47.024063,6.57797,3.6984094036001345,14.166530371584473
stehen,CDUCSU,#343434,#343434,10,12,19.332645,18.913784,92.74359,83.90265,31.63781125583281,13.683235227259127
bereich,FDP,#ffe800,#ffe800,10,12,34.191563,31.129679,81.57061,65.37575,19.38700551193698,15.059759755633303
derzeit,AFD,#21a1ff,#21a1ff,10,12,62.00163,92.02147,10.532644,45.920265,3.2716595194836247,21.212699469183256
eltern,AFD,#21a1ff,#21a1ff,10,12,56.11287,70.67086,37.121765,46.42094,10.698646649217254,22.087868130023942
brauchen,Gruene,#029e00,#029e00,10,12,5.103677,17.545502,99.86179,96.93058,40.379394107144435,5.5577385948183
15,AFD,#21a1ff,#21a1ff,10,12,61.248882,97.2607,2.1349094,49.408787,0.8259137950891393,22.144235627854933
ausbau,SPD,#cc0000,#cc0000,10,12,58.831566,49.528988,69.062386,43.434284,14.772793685565583,13.296680168776948
pflege,Linke,#900C3F,#900C3F,10,12,79.61621,65.0278,52.212376,18.540277,8.894342240247246,13.107065797642015
afd,AFD,#21a1ff,#21a1ff,10,12,13.223421,0.0,85.98945,88.32952,31.62797432052032,100.0
sicherheit,CDUCSU,#343434,#343434,10,12,24.206383,13.940586,95.020256,76.87149,27.370532556552483,13.77402803935571
bevölkerung,AFD,#21a1ff,#21a1ff,10,12,63.50342,74.91549,30.070648,43.4495,7.881739161760598,19.069776796640763
sogenannt,AFD,#21a1ff,#21a1ff,10,12,61.335217,87.675545,14.309856,45.10076,5.383965550251784,19.927016054670908
pds,Linke,#900C3F,#900C3F,10,12,90.797966,71.266685,51.50897,10.02738,7.758237028796398,11.252937687550713
investition,SPD,#cc0000,#cc0000,10,12,64.88282,46.74232,62.4037,42.638035,11.842085983458581,15.001486430222219
gesetz,AFD,#21a1ff,#21a1ff,10,12,54.937744,64.627106,39.787395,48.459152,12.54172128123692,20.78966961203112
gender,AFD,#21a1ff,#21a1ff,10,12,64.82475,96.166336,2.5495546,51.3557,1.209424702437554,22.8830890506549
freiheit,FDP,#ffe800,#ffe800,10,12,36.095608,17.690928,85.62298,66.25612,24.51805967143773,14.136795154551788
voraussetzung,CDUCSU,#343434,#343434,10,12,50.292755,35.468456,70.4409,60.947506,16.441666872764245,15.690779375978234
erforderlich,FDP,#ffe800,#ffe800,10,12,71.87442,37.767944,53.074856,59.92285,8.636510005093502,16.607529693284008
nachhaltig,Gruene,#029e00,#029e00,10,12,64.4661,57.61954,57.276474,33.604225,14.187130595072016,16.198507974243253
wirksam,Linke,#900C3F,#900C3F,10,12,65.72176,49.824543,62.403152,38.522766,12.803455979991648,13.440121466787605
volk,CDUCSU,#343434,#343434,10,12,69.884834,43.62863,49.89212,49.21922,14.042001166305129,21.685564024024533
afrika,AFD,#21a1ff,#21a1ff,10,12,59.407467,94.72688,2.6590114,44.086056,1.5526709870312747,20.79150979306799
entwicklung,FDP,#ffe800,#ffe800,10,12,17.674217,20.534533,91.66052,85.30308,31.938957857974444,14.218505394249783
10,AFD,#21a1ff,#21a1ff,10,12,63.40338,96.559586,1.6793631,49.391617,1.1233973321732875,22.604953057690334
erreichen,SPD,#cc0000,#cc0000,10,12,41.11732,31.257475,77.71331,60.08032,18.146250686729974,14.781203397977627
gewährleisten,FDP,#ffe800,#ffe800,10,12,57.319115,64.71205,37.941425,45.71335,11.365624909992341,18.843078057133724
verbesserung,FDP,#ffe800,#ffe800,10,12,67.98673,35.26071,57.534378,61.021446,9.787852702005768,14.435553428672396
öffentlich,Linke,#900C3F,#900C3F,10,12,3.3281379,26.21318,96.53251,94.8617,50.89007231836108,5.398366760025705
gestalten,Gruene,#029e00,#029e00,10,12,67.79368,54.02115,59.136642,34.317886,13.143058487605261,12.96269991958525
erfolgen,FDP,#ffe800,#ffe800,10,12,59.405125,39.6445,56.946735,54.707382,12.321969664156322,16.68147931549957
tragen,SPD,#cc0000,#cc0000,10,12,56.880844,43.284725,51.20282,49.932755,13.911405859056844,18.634252752300746
bund,SPD,#cc0000,#cc0000,10,12,34.227238,25.466803,83.276596,61.411697,21.31429531391773,13.225299400976173
